Phrase;VARK Style;Mental Pillar
The rock rock rolled rolled rock.;Kinesthetic;Confidence
The left jaws in it it jaws it.;Aural;Control
Burned the the burned burned burned.;Read/Write;Control
Pured pured my irons pured irons pured irons my my.;Visual;Confidence
Egg fried egg egg egg egg fried egg egg.;Kinesthetic;Focus
Stuck stuck stuck it it stuck it stuck stuck it it it.;Aural;Control
The edge edge edge burned burned edge edge burned the edge edge.;Visual;Focus
Dialed in in in in in.;Read/Write;Focus
Drive drive nuked drive a drive nuked a.;Read/Write;Confidence
Hit the screws the the hit the hit screws hit hit the.;Kinesthetic;Focus
Rolled rolled rolled rock.;Read/Write;Control
Pipe one pipe one one.;Visual;Focus
My pured irons pured irons my.;Aural;Focus
Pipe pipe pipe pipe pipe pipe pipe one one.;Visual;Confidence
Past it past past it it past.;Aural;Control
Blew it past it blew blew it past.;Kinesthetic;Confidence
Wedge chunked chunked my chunked my my my chunked chunked.;Visual;Control
A nuked nuked drive a a drive a.;Aural;Confidence
Over over laid sod over.;Read/Write;Focus
It it close stuck stuck.;Read/Write;Focus
The it it left left in left it left left.;Aural;Control
Screws the hit the the.;Visual;Confidence
Lie lie tight lie lie.;Visual;Focus
Lie tight lie.;Visual;Control
Dialed in dialed dialed in dialed dialed dialed in.;Read/Write;Control
It it chili-dipped it it it it it chili-dipped chili-dipped it it.;Aural;Focus
My my irons my my my my pured.;Read/Write;Confidence
Burned the burned burned the.;Aural;Focus
Rolled rock the the the.;Read/Write;Focus
In in dialed in in in in.;Visual;Control
It it laid over it.;Read/Write;Control
Jaws the in in left in.;Visual;Control
Left the the in jaws.;Read/Write;Confidence
Seeking went pin went went.;Read/Write;Confidence
Past it past blew past past blew past blew past past.;Aural;Confidence
Lie tight tight.;Read/Write;Confidence
Close close it close it stuck close it close.;Visual;Control
Lie tight lie.;Visual;Focus
In dialed dialed dialed dialed in.;Aural;Control
It chili-dipped it chili-dipped chili-dipped it it it chili-dipped.;Visual;Control
Flushed it flushed flushed it flushed it flushed it it.;Aural;Control
Screws screws hit the hit hit screws.;Kinesthetic;Focus
Laid sod it sod laid the sod.;Kinesthetic;Control
Close it it close.;Aural;Focus
Dialed dialed in in in dialed.;Aural;Focus
One pipe one one one.;Visual;Confidence
It close it stuck stuck it stuck.;Read/Write;Focus
It it it chili-dipped chili-dipped it chili-dipped it it it.;Visual;Control
It blew it past past.;Kinesthetic;Confidence
Chili-dipped it it chili-dipped chili-dipped it it.;Read/Write;Focus
Dialed in in dialed in.;Read/Write;Control
Scrambled hard hard scrambled scrambled scrambled hard scrambled.;Visual;Confidence
Dialed in dialed in in dialed in.;Aural;Control
It it chili-dipped it chili-dipped.;Kinesthetic;Focus
Pured my my my my.;Aural;Control
The burned burned edge burned the the the burned burned burned.;Kinesthetic;Confidence
In dialed in.;Kinesthetic;Control
Irons my pured irons irons my pured.;Aural;Confidence
One pipe pipe one pipe one.;Aural;Confidence
My my pured irons pured my pured my my pured my.;Visual;Confidence
Flushed it it flushed it it it.;Kinesthetic;Confidence
Up got down got got got up got and and up up.;Visual;Confidence
My my my pured my irons irons irons irons my.;Visual;Confidence
It chili-dipped chili-dipped it it chili-dipped it chili-dipped chili-dipped chili-dipped chili-dipped it it.;Read/Write;Focus
Blew it it blew blew blew past.;Read/Write;Focus
Nuked a drive drive drive a.;Kinesthetic;Control
Chili-dipped it chili-dipped chili-dipped.;Aural;Focus
Close close stuck close stuck stuck close close close stuck.;Read/Write;Confidence
Dialed in in.;Visual;Control
It in it jaws the the in it jaws the.;Read/Write;Focus
Lie lie lie lie lie lie.;Read/Write;Confidence
Rock rolled rock the rock rolled the.;Aural;Control
The left left jaws it left the.;Visual;Focus
Seeking pin seeking seeking seeking seeking pin pin went pin.;Visual;Focus
Blew past past past past blew it past it blew.;Visual;Focus
Rolled the rolled the rolled rolled rock rock the rolled rolled rolled.;Visual;Control
One pipe pipe pipe pipe pipe.;Visual;Focus
Dialed dialed in dialed in in in dialed dialed dialed dialed.;Kinesthetic;Control
Hard scrambled hard hard scrambled scrambled hard.;Kinesthetic;Control
Hard scrambled hard scrambled hard.;Read/Write;Confidence
Dialed dialed dialed.;Kinesthetic;Control
My my my pured.;Kinesthetic;Control
Lie lie tight tight tight lie tight lie tight.;Visual;Focus
Egg egg fried egg egg egg egg.;Read/Write;Focus
Drink drink in in.;Aural;Confidence
Edge the edge burned burned the.;Read/Write;Confidence
Left the the the it the.;Read/Write;Focus
A drive a drive.;Kinesthetic;Control
The the the left in the it.;Kinesthetic;Focus
Flushed flushed flushed it it it it it it flushed it.;Read/Write;Focus
Hit the the the the the.;Read/Write;Focus
Pipe pipe pipe one pipe one pipe pipe.;Aural;Confidence
Chunked wedge wedge my wedge wedge my chunked my.;Read/Write;Control
In drink drink.;Kinesthetic;Confidence
A drive drive drive drive drive.;Kinesthetic;Focus
Nuked nuked a drive drive.;Kinesthetic;Control
Fried egg egg fried fried.;Aural;Control
Nuked a nuked nuked a nuked nuked.;Visual;Confidence
Dialed dialed in in dialed in in dialed.;Visual;Confidence
And down down and and up up down.;Aural;Control
Screws hit screws hit screws screws hit the screws hit.;Visual;Confidence
Pin pin seeking seeking seeking pin pin.;Aural;Control
Got and up got and.;Aural;Control
Drink in in the drink in in drink drink.;Kinesthetic;Control
In it the in the the the the.;Visual;Focus
It it over the it laid laid over sod.;Visual;Focus
Tight lie lie lie tight lie tight lie tight tight lie.;Visual;Control
Drink drink in the.;Aural;Control
Irons irons irons pured irons my my pured pured irons.;Visual;Confidence
Down and down up.;Visual;Confidence
Close it it close close close close it close it stuck stuck it it.;Aural;Focus
The the the burned the.;Visual;Focus
Fried fried egg egg.;Visual;Control
My irons my pured irons.;Read/Write;Control
Nuked drive a drive a drive a a drive a drive nuked.;Visual;Focus
It it chili-dipped it chili-dipped chili-dipped it chili-dipped chili-dipped.;Aural;Focus
Up and got up got.;Read/Write;Control
Pured my irons pured my irons.;Kinesthetic;Control
Rolled rolled rock the rock rolled rolled.;Kinesthetic;Focus
Drink drink drink drink the drink.;Aural;Focus
Pin seeking pin pin seeking pin pin seeking pin went.;Visual;Focus
Blew it it blew.;Kinesthetic;Confidence
Got down and got down up and up got.;Read/Write;Confidence
In in the drink.;Read/Write;Focus
My chunked my my wedge.;Kinesthetic;Focus
It past it blew blew past it past it past past past past.;Read/Write;Confidence
In drink in the in drink drink the.;Read/Write;Focus
Laid over over it.;Visual;Confidence
The drink the drink the.;Aural;Confidence
Left left the left in in the jaws.;Aural;Confidence
Went seeking seeking seeking went seeking.;Kinesthetic;Confidence
Hit the screws screws hit the hit screws.;Visual;Control
It it chili-dipped it it chili-dipped it chili-dipped it.;Read/Write;Confidence
The in drink drink the the in drink drink the.;Visual;Focus
Close it it it close close.;Aural;Confidence
Jaws in jaws jaws jaws left jaws the jaws left in in left.;Aural;Control
Blew past past past it past.;Visual;Control
Lie lie lie tight lie tight lie lie lie lie.;Kinesthetic;Confidence
The screws screws hit screws screws.;Kinesthetic;Focus
The burned burned the the burned edge the edge.;Read/Write;Control
In left left it it in in it.;Visual;Control
The the in jaws jaws jaws jaws.;Aural;Focus
Hit the screws hit hit.;Aural;Focus
Screws screws hit the screws.;Aural;Confidence
It it past blew past blew past past blew past it past blew.;Visual;Control
Edge burned edge burned.;Kinesthetic;Control
Irons my my my pured my my my my.;Aural;Control
The the screws hit the screws screws the the.;Read/Write;Focus
Dialed dialed dialed in in in in in dialed.;Aural;Control
Chili-dipped it chili-dipped it chili-dipped chili-dipped.;Aural;Confidence
The drink the in the drink in drink.;Read/Write;Control
Went seeking went seeking pin seeking.;Read/Write;Control
Over laid laid the laid it over.;Kinesthetic;Focus
Dialed dialed dialed in.;Kinesthetic;Focus
The in in jaws the jaws it the left.;Aural;Confidence
In dialed dialed in dialed dialed dialed in.;Visual;Focus
Lie lie lie lie tight tight tight lie.;Read/Write;Confidence
One pipe pipe one pipe one one one.;Kinesthetic;Focus
Drink the the in drink in.;Aural;Control
Pin pin pin went pin pin seeking.;Visual;Confidence
The in the left jaws it the.;Kinesthetic;Control
Hard scrambled hard hard scrambled.;Read/Write;Confidence
Flushed flushed flushed it flushed flushed it.;Aural;Confidence
Left the in the it in left.;Visual;Confidence
Tight tight lie lie lie lie tight lie lie.;Aural;Focus
The jaws in in in the it it it in it.;Read/Write;Confidence
Hard scrambled scrambled hard scrambled scrambled hard.;Kinesthetic;Control
The edge edge edge burned edge burned edge.;Read/Write;Confidence
Burned the burned burned burned.;Visual;Focus
Past it it it it it blew past past past blew.;Read/Write;Confidence
Past it blew blew past.;Read/Write;Focus
Hit the hit the.;Kinesthetic;Confidence
Screws the the the the the.;Aural;Confidence
The rolled rock the rolled rock rock.;Read/Write;Control
Drink in in drink drink the drink the the the drink drink.;Visual;Confidence
It it it it chili-dipped it it chili-dipped.;Read/Write;Focus
Nuked drive drive a.;Kinesthetic;Control
Rock rolled rock the the the rolled.;Read/Write;Confidence
Down down down got.;Kinesthetic;Confidence
It it chili-dipped chili-dipped chili-dipped chili-dipped it it chili-dipped it.;Visual;Confidence
Scrambled hard scrambled hard hard scrambled scrambled.;Read/Write;Control
Egg egg egg fried egg.;Read/Write;Control
The left in in left.;Read/Write;Control
Irons my pured irons.;Visual;Confidence
It past blew it.;Read/Write;Control
Burned the edge the the.;Read/Write;Confidence
In in in drink drink the drink.;Kinesthetic;Control
Seeking pin went seeking went seeking.;Visual;Confidence
Chunked wedge chunked wedge chunked my chunked my my chunked chunked.;Aural;Confidence
My my irons irons.;Kinesthetic;Confidence
Lie lie tight tight lie tight tight.;Kinesthetic;Confidence
One pipe pipe one.;Read/Write;Focus
Pured pured irons pured pured.;Aural;Control
Flushed it flushed flushed flushed it it it.;Kinesthetic;Confidence
The the the the hit screws the the hit screws hit.;Aural;Confidence
One pipe pipe one pipe pipe.;Read/Write;Control
Drink the the the the the the.;Aural;Control
Pipe pipe pipe one one.;Kinesthetic;Control
Drive nuked a drive a drive a a a a drive.;Visual;Focus
Irons my my irons irons my irons.;Kinesthetic;Confidence
Dialed dialed dialed dialed.;Aural;Confidence
Up up got up up got.;Read/Write;Confidence
Screws screws screws screws.;Aural;Focus
Wedge chunked wedge chunked wedge wedge wedge wedge chunked.;Aural;Focus
Down and down got up and.;Read/Write;Focus
Pin went pin went went.;Visual;Confidence
In in dialed dialed dialed dialed.;Visual;Focus
Chili-dipped chili-dipped chili-dipped chili-dipped it it.;Read/Write;Control
Drink in drink the drink in the in in.;Read/Write;Focus
Rock rock the rock rock the rock rock rolled.;Aural;Control
In it the jaws jaws.;Aural;Focus
Edge burned edge edge the.;Visual;Focus
Over over it over sod laid over laid laid sod sod.;Read/Write;Control
Hard hard scrambled hard hard hard hard hard scrambled scrambled scrambled hard hard hard.;Visual;Control
Scrambled hard hard scrambled scrambled scrambled scrambled.;Aural;Confidence
Dialed dialed dialed in in dialed in dialed.;Visual;Focus
Close stuck close it close close close stuck close.;Aural;Control
It it flushed.;Visual;Focus
Pured my irons my irons my.;Read/Write;Focus
Lie lie lie tight lie tight lie tight lie.;Aural;Confidence
In dialed in dialed in in in.;Read/Write;Control
Lie lie tight tight lie tight.;Read/Write;Control
Chunked chunked chunked wedge wedge wedge wedge chunked chunked my chunked.;Read/Write;Confidence
It it chili-dipped it chili-dipped.;Visual;Confidence
Stuck close close close stuck stuck it close.;Visual;Focus
Irons my pured my my.;Read/Write;Confidence
It flushed flushed flushed it it it it flushed it flushed.;Read/Write;Control
Pured irons my irons irons irons irons.;Visual;Confidence
Dialed in in dialed dialed in in in dialed in in in in.;Visual;Control
Stuck close stuck stuck stuck close stuck stuck it close close.;Visual;Confidence
Pured my pured my pured irons.;Aural;Control
The the in in the the in.;Aural;Confidence
In drink in drink the in drink in drink the.;Read/Write;Confidence
Stuck it it stuck.;Visual;Control
Seeking pin went pin.;Kinesthetic;Focus
Sod sod the the laid laid sod.;Aural;Focus
In dialed dialed in dialed dialed dialed dialed dialed.;Visual;Confidence
The rock the rock the the rock the the rolled.;Visual;Control
Drive nuked a drive nuked drive nuked.;Kinesthetic;Focus
Wedge my my.;Read/Write;Focus
Close stuck close stuck stuck stuck close it.;Kinesthetic;Focus
Chili-dipped it chili-dipped it it it.;Kinesthetic;Control
A nuked a drive.;Read/Write;Confidence
A nuked nuked a.;Read/Write;Focus
Pipe pipe pipe one one one.;Visual;Control
Scrambled hard hard scrambled scrambled hard hard hard scrambled.;Kinesthetic;Confidence
Scrambled scrambled hard scrambled hard.;Aural;Control
Hard hard hard hard.;Kinesthetic;Control
Flushed flushed flushed flushed it flushed flushed flushed.;Kinesthetic;Focus
Fried egg egg egg egg.;Read/Write;Confidence
The in drink in in drink.;Aural;Confidence
Left jaws in in in it.;Aural;Control
The in in jaws it.;Visual;Focus
Went seeking seeking seeking went seeking went seeking.;Kinesthetic;Control
Past past it past it it.;Visual;Control
Chunked chunked wedge.;Kinesthetic;Control
Chunked my my wedge wedge wedge my.;Aural;Focus
Tight tight tight lie tight tight tight tight.;Visual;Confidence
It close close stuck it close it close.;Visual;Control
It it chili-dipped it it.;Aural;Control
It flushed it it flushed.;Read/Write;Focus
Went seeking went pin went seeking pin seeking.;Aural;Focus
It it jaws it in jaws jaws jaws jaws.;Kinesthetic;Focus
Seeking went pin pin went seeking seeking pin pin pin went pin.;Read/Write;Confidence
Scrambled scrambled hard hard hard hard.;Kinesthetic;Control
In drink the the the the the the the in the.;Read/Write;Control
The over the sod sod the.;Read/Write;Confidence
A nuked drive a a drive.;Read/Write;Focus
Laid it the it over it.;Read/Write;Control
Hard scrambled scrambled hard scrambled hard scrambled scrambled.;Visual;Control
The sod the sod the the over.;Visual;Confidence
Screws the the hit screws hit hit screws hit hit the.;Read/Write;Confidence
Nuked a nuked drive a nuked.;Aural;Focus
My my pured.;Visual;Control
Up and down up.;Kinesthetic;Confidence
In in jaws it jaws it in in it it in.;Visual;Control
Screws screws hit screws.;Visual;Control
Laid sod laid over the sod it over it.;Read/Write;Confidence
Lie lie tight tight.;Visual;Focus
Dialed dialed in dialed in.;Aural;Focus
Drive drive a drive nuked a a a.;Aural;Confidence
Chili-dipped it it it.;Visual;Control
Egg fried fried.;Aural;Confidence
In dialed dialed dialed in in in.;Read/Write;Focus
Chili-dipped chili-dipped chili-dipped it chili-dipped chili-dipped chili-dipped it.;Visual;Confidence
Up up down and up and up got and and.;Kinesthetic;Focus
Scrambled hard hard hard.;Aural;Focus
The burned the burned burned burned.;Read/Write;Confidence
Stuck close it close it stuck stuck.;Aural;Focus
A a nuked a drive a.;Read/Write;Confidence
Drink the drink the the the the drink.;Aural;Control
Sod over the it laid sod.;Visual;Confidence
Pin went seeking went seeking pin went seeking pin went.;Aural;Control
Chili-dipped it it it chili-dipped.;Visual;Control
Egg egg egg fried fried fried.;Read/Write;Control
In in dialed dialed.;Visual;Focus
It laid over laid sod over laid over over.;Visual;Control
It it chili-dipped it chili-dipped chili-dipped.;Aural;Control
Stuck close it close close close close.;Read/Write;Control
Close stuck close it.;Kinesthetic;Confidence
Drink the the in drink drink.;Aural;Confidence
Left it it in.;Visual;Focus
Pured irons irons my my irons irons irons.;Read/Write;Control
The edge burned burned edge.;Read/Write;Confidence
Got and up got up and and down and.;Kinesthetic;Focus
Stuck it close it close.;Read/Write;Confidence
In in in dialed.;Visual;Focus
In jaws left jaws.;Aural;Confidence
Over over it laid sod.;Kinesthetic;Focus
It over it it the.;Read/Write;Focus
It past it blew it past blew past.;Read/Write;Control
Lie lie tight tight lie tight tight tight lie lie.;Visual;Focus
It chili-dipped it.;Aural;Focus
Chunked my my chunked wedge chunked wedge wedge chunked.;Kinesthetic;Focus
In dialed dialed dialed dialed dialed in in dialed.;Kinesthetic;Control
Tight lie tight tight tight tight.;Read/Write;Focus
Dialed dialed in in in dialed in in.;Aural;Focus
Down got and up up got up got and.;Read/Write;Confidence
The in in in the.;Kinesthetic;Confidence
Wedge my wedge wedge my wedge.;Read/Write;Confidence
Pipe one pipe pipe.;Aural;Confidence
It chili-dipped it it chili-dipped it it chili-dipped it.;Aural;Control
Flushed flushed it flushed flushed it.;Visual;Confidence
Irons irons pured irons irons pured pured irons pured pured.;Aural;Confidence
It flushed flushed flushed it.;Read/Write;Confidence
Egg fried egg fried fried.;Visual;Control
Burned the burned the the burned the.;Kinesthetic;Control
It it it it it.;Aural;Control
Rolled the rolled rock rock rock.;Read/Write;Confidence
Chili-dipped it chili-dipped it chili-dipped it.;Read/Write;Confidence
Left jaws it it left.;Kinesthetic;Control
Chili-dipped chili-dipped chili-dipped it chili-dipped chili-dipped chili-dipped.;Read/Write;Focus
Rolled rock rolled rolled rolled the.;Aural;Confidence
In in dialed in in dialed in.;Kinesthetic;Focus
The the burned the the the.;Aural;Control
Past it blew it it it past blew it.;Kinesthetic;Confidence
Edge the edge burned burned edge edge.;Read/Write;Confidence
One one pipe pipe pipe one one one one pipe.;Aural;Focus
A drive nuked drive drive nuked nuked drive nuked nuked nuked nuked.;Visual;Focus
Wedge my wedge my.;Kinesthetic;Confidence
Blew past past blew it blew.;Kinesthetic;Control
Past it blew it blew past past past blew blew.;Read/Write;Confidence
Fried fried fried egg egg.;Visual;Control
Lie tight tight tight lie.;Kinesthetic;Confidence
Scrambled hard hard scrambled scrambled hard.;Visual;Focus
Jaws the left it the left.;Kinesthetic;Focus
Blew it blew past blew past it blew past it.;Aural;Confidence
Jaws in the jaws in the jaws the it left the in.;Read/Write;Control
Nuked a a nuked.;Visual;Confidence
A nuked a nuked drive a a drive nuked nuked drive drive.;Kinesthetic;Confidence
Tight tight lie lie tight.;Read/Write;Confidence
It it chili-dipped it it.;Kinesthetic;Control
Sod over laid laid it sod the.;Kinesthetic;Control
Dialed in dialed in in dialed in dialed.;Read/Write;Control
Dialed dialed in in in.;Read/Write;Focus
The drink in the in drink the drink.;Kinesthetic;Confidence
The rock rock.;Visual;Confidence
One pipe pipe pipe one.;Kinesthetic;Control
It it it past blew it.;Visual;Control
In the the the the jaws jaws it in in.;Aural;Focus
Pipe pipe one pipe pipe one pipe pipe.;Visual;Confidence
A a a nuked nuked a nuked nuked drive a nuked.;Visual;Focus
Laid it laid over over over sod the.;Visual;Control
It it close it stuck stuck stuck stuck.;Visual;Confidence
Stuck stuck it stuck stuck stuck it close close it.;Kinesthetic;Focus
Screws hit hit screws the hit screws.;Read/Write;Confidence
The burned the edge the burned the edge edge the the the the.;Read/Write;Confidence
Wedge wedge my.;Aural;Control
Left the it the the it jaws in it.;Kinesthetic;Control
In in in in dialed.;Visual;Focus
My my my my irons pured irons irons my pured.;Visual;Confidence
Laid it laid it the.;Aural;Focus
Rolled rock rolled rock.;Aural;Confidence
It it flushed flushed flushed it it flushed.;Kinesthetic;Control
Fried fried egg.;Kinesthetic;Focus
Drink in in drink in in.;Visual;Control
It it it chili-dipped chili-dipped it chili-dipped.;Read/Write;Control
In in dialed in in in.;Visual;Confidence
Wedge wedge my chunked chunked.;Kinesthetic;Confidence
It it blew past.;Read/Write;Confidence
Pipe pipe pipe one pipe pipe pipe one.;Visual;Focus
It stuck it it stuck close stuck it stuck it close.;Read/Write;Confidence
Past blew past blew blew it.;Visual;Focus
Fried fried egg.;Aural;Control
My wedge my my my wedge my wedge.;Visual;Confidence
Scrambled hard hard hard scrambled scrambled scrambled scrambled scrambled hard scrambled.;Read/Write;Confidence
Past it blew it blew past.;Aural;Confidence
Fried egg egg egg fried egg egg fried egg egg egg.;Aural;Confidence
My my my chunked my wedge.;Kinesthetic;Focus
Up down got and.;Kinesthetic;Confidence
Chunked chunked my wedge wedge chunked my my chunked wedge chunked my wedge.;Read/Write;Control
Irons pured my my pured irons pured my irons.;Kinesthetic;Confidence
Lie lie tight tight.;Kinesthetic;Control
Lie lie tight tight tight lie.;Read/Write;Confidence
It blew blew blew past blew it blew past it.;Visual;Focus
The screws hit the hit screws.;Visual;Focus
Rock the rock rock rolled rolled.;Read/Write;Control
My irons my pured pured pured pured irons irons.;Read/Write;Control
Laid laid over it laid the it.;Aural;Control
Past it past it past.;Read/Write;Focus
And down down up up down down.;Visual;Control
Went went seeking went pin pin pin went seeking went seeking.;Read/Write;Control
It chili-dipped it chili-dipped it chili-dipped.;Visual;Confidence
Flushed flushed flushed flushed it it.;Visual;Focus
One one pipe one one pipe.;Aural;Confidence
In it jaws it jaws jaws left in.;Kinesthetic;Control
Egg egg fried fried fried.;Kinesthetic;Control
Dialed dialed dialed dialed dialed in dialed.;Read/Write;Control
My pured irons my pured pured irons pured irons irons pured my.;Visual;Confidence
Fried egg fried egg egg egg fried.;Kinesthetic;Confidence
Rolled rock rock the rock rock rock rolled the the the.;Read/Write;Control
Got got up up down.;Kinesthetic;Focus
The screws the screws.;Visual;Focus
Irons pured pured my my.;Read/Write;Focus
Lie lie tight tight.;Aural;Control
And down down up down got.;Aural;Confidence
Blew past it past it blew blew past blew blew past blew it.;Aural;Focus
Nuked nuked drive a nuked nuked drive.;Aural;Focus
Up down up and and got.;Read/Write;Focus
In in the drink the the the in in in.;Kinesthetic;Control
Close it close stuck.;Visual;Control
Past it blew past blew past past blew it.;Kinesthetic;Confidence
Nuked drive nuked nuked a nuked.;Kinesthetic;Confidence
Fried egg egg egg egg fried fried.;Read/Write;Focus
The hit hit screws screws the screws.;Visual;Confidence
Sod it it it sod.;Kinesthetic;Focus
The burned burned burned burned.;Visual;Focus
Hit the the hit hit screws screws the the hit screws.;Aural;Confidence
Blew past blew blew it past blew blew.;Kinesthetic;Focus
Hard scrambled hard.;Kinesthetic;Focus
Chili-dipped it it it it it it chili-dipped it.;Visual;Confidence
Hit the screws screws the screws screws.;Read/Write;Confidence
Drink the in the the drink in the drink.;Read/Write;Confidence
It it it flushed flushed flushed flushed.;Visual;Confidence
Edge the edge edge edge edge.;Kinesthetic;Control
It it close it.;Visual;Control
My chunked chunked my chunked chunked my.;Aural;Control
It it it it chili-dipped it chili-dipped it it.;Kinesthetic;Control
In dialed in dialed dialed in in dialed in in.;Aural;Focus
Egg egg fried fried egg fried egg egg egg fried fried fried egg.;Kinesthetic;Confidence
Hit screws the screws hit.;Kinesthetic;Control
Irons irons irons pured irons my my irons my.;Aural;Confidence
A a a a drive a drive a nuked.;Aural;Control
Sod sod sod it sod the sod laid sod it.;Visual;Control
And and down down down got.;Kinesthetic;Control
It flushed flushed flushed it.;Read/Write;Control
In in drink the.;Aural;Control
One pipe pipe one pipe one one pipe one.;Kinesthetic;Focus
Up got up down got and.;Kinesthetic;Control
Dialed dialed dialed in in dialed dialed dialed dialed.;Visual;Control
The in in the the in the the.;Read/Write;Confidence
Scrambled scrambled hard scrambled hard hard scrambled scrambled scrambled hard.;Read/Write;Focus
Hit hit screws hit screws the hit.;Kinesthetic;Focus
Down got got got up got got up.;Read/Write;Confidence
In in in dialed dialed in in.;Read/Write;Control
Jaws the the in it left left.;Read/Write;Confidence
Burned edge edge burned edge burned burned the burned edge burned edge the.;Aural;Focus
Lie tight tight lie tight tight tight tight.;Visual;Confidence
Pipe one one one one pipe pipe one pipe pipe.;Aural;Control
Drive drive drive drive nuked a nuked.;Visual;Control
Nuked nuked nuked drive nuked a nuked a drive a.;Read/Write;Control
In the drink in drink.;Kinesthetic;Confidence
Went seeking went pin seeking seeking seeking went.;Visual;Control
It it chili-dipped chili-dipped chili-dipped it it it chili-dipped it chili-dipped.;Read/Write;Confidence
Wedge my chunked wedge chunked chunked my.;Aural;Confidence
Scrambled scrambled scrambled hard hard hard.;Read/Write;Control
Hit the hit hit hit screws.;Aural;Control
Scrambled scrambled scrambled hard scrambled scrambled scrambled scrambled.;Visual;Focus
Flushed it it it flushed flushed it it.;Visual;Focus
The drink the in drink in drink.;Visual;Confidence
Screws screws hit the hit the screws hit.;Visual;Focus
Close stuck it it close it.;Kinesthetic;Confidence
Wedge wedge wedge chunked chunked wedge chunked chunked.;Kinesthetic;Confidence
Seeking seeking pin pin seeking seeking seeking seeking.;Aural;Confidence
Went seeking seeking seeking seeking seeking.;Visual;Focus
Up down down.;Kinesthetic;Focus
It chili-dipped it chili-dipped it chili-dipped chili-dipped.;Aural;Control
The rolled rolled rolled rock rolled rock rock.;Read/Write;Control
Hit hit hit screws the hit the screws.;Aural;Focus
It it flushed it.;Aural;Focus
Dialed in in in in in in in dialed dialed in dialed in.;Aural;Focus
In in dialed dialed dialed in.;Aural;Focus
Lie lie lie lie.;Aural;Control
It flushed flushed it it flushed flushed flushed flushed flushed flushed flushed.;Visual;Confidence
A a a a a.;Read/Write;Confidence
Chili-dipped it it it chili-dipped it chili-dipped it.;Kinesthetic;Confidence
In in in in jaws jaws it in it the jaws.;Aural;Control
Drive drive a.;Aural;Control
It the it jaws.;Aural;Control
My chunked my wedge wedge chunked wedge chunked.;Read/Write;Control
In dialed in in in in dialed.;Kinesthetic;Focus
Close it it close close.;Visual;Confidence
Fried egg fried fried egg egg egg egg egg fried.;Read/Write;Focus
The in drink the the drink.;Visual;Control
My irons my irons my my.;Read/Write;Confidence
Egg fried fried egg fried fried egg.;Visual;Focus
Scrambled hard hard scrambled scrambled.;Kinesthetic;Confidence
Irons irons irons pured pured pured pured.;Read/Write;Focus
It it blew it.;Visual;Control
Sod over the.;Visual;Confidence
And up and got.;Aural;Focus
Edge burned edge the burned the the edge edge.;Kinesthetic;Confidence
Pured irons irons irons pured pured pured pured irons irons irons.;Kinesthetic;Control
Got and down down up down down up got and got.;Aural;Focus
Flushed flushed flushed it it it flushed it.;Aural;Control
Chili-dipped chili-dipped chili-dipped.;Kinesthetic;Focus
Got got got down got down up up got.;Aural;Confidence
Flushed it flushed it.;Read/Write;Confidence
The it it jaws the left the in left.;Visual;Confidence
Over it laid it over.;Kinesthetic;Focus
Rock the rock the the rock.;Aural;Confidence
Drive a a drive.;Visual;Confidence
Drink in drink in drink drink.;Aural;Confidence
Tight tight tight lie tight tight lie lie lie lie.;Visual;Focus
And down down and up down got down.;Visual;Focus
Went seeking seeking seeking seeking.;Read/Write;Confidence
One one one pipe one.;Kinesthetic;Confidence
It it flushed flushed it it flushed it.;Visual;Focus
Rock rock rock rock the rolled.;Visual;Confidence
It flushed flushed flushed it flushed flushed flushed it it.;Visual;Confidence
Over over over over laid over.;Kinesthetic;Confidence
Pipe pipe one one pipe one one one.;Kinesthetic;Confidence
It left in in it left it in it the.;Kinesthetic;Focus
A nuked nuked nuked.;Aural;Focus
In in dialed in in dialed.;Kinesthetic;Control
It it it it flushed flushed flushed.;Aural;Confidence
Close it close it stuck close.;Visual;Confidence
My pured pured my irons my irons irons pured.;Kinesthetic;Focus
In the drink the.;Read/Write;Confidence
Edge edge burned burned edge burned edge burned edge the.;Kinesthetic;Focus
The burned the the the.;Visual;Focus
Dialed dialed in dialed in in dialed dialed dialed.;Aural;Confidence
Lie tight tight tight tight tight lie.;Kinesthetic;Confidence
Seeking seeking went went went seeking seeking seeking seeking went went.;Aural;Control
Got down up.;Aural;Confidence
Screws hit the.;Kinesthetic;Confidence
Left it it in the jaws jaws it the it the the.;Aural;Focus
Up up down up got down up and.;Visual;Control
Drive a a nuked nuked a nuked drive a nuked a.;Aural;Control
Egg fried fried egg egg.;Visual;Control
Burned the edge edge the edge edge the the burned.;Visual;Focus
Dialed in in in dialed in in in in.;Aural;Confidence
Scrambled hard scrambled hard scrambled.;Visual;Focus
Rock the rock.;Visual;Control
Egg fried fried fried.;Visual;Control
The drink in the in the drink the drink.;Visual;Control
In drink in.;Aural;Control
Pin pin went.;Visual;Focus
In jaws in in the left.;Kinesthetic;Confidence
Scrambled hard scrambled hard hard hard scrambled hard scrambled scrambled scrambled scrambled.;Visual;Confidence
Rock rock the rolled rock.;Visual;Confidence
The it laid the.;Kinesthetic;Confidence
Scrambled scrambled hard hard scrambled scrambled.;Aural;Control
Egg fried egg egg fried fried egg fried fried fried fried.;Visual;Focus
